First Name,Middle Name,Last Name
DIONISIO,GENOVAÑA,CORPORAL
ALFREDO,MOOG,BELINGON
SERGIO,,BELING
ELIZER,BAULA,BELANDRES
TADEO,MANGILOG,BELINARIO
PERCIVAL,KIRAM,PALMA
ALBINO,CANCERAN,PALMA
GRECO,,BELGICA
EUGENIO,GADOT,ONG
ARIEL,PUNAY,CORONADO
ALEXANDER,SOBREPEÑA,BELENA
REYNALDO,TAÑO,BELEN
DANILO,,BELEN
MOHAMMAD,SALAPUDDIN,KABUKISAN
MARIANO,EFONDO,PALMA
GASPAR,,BELLELA
NAPOLEON,CABLIN,BELINGON
BENJAMIN,CANTES,CONSUELO
GENARO,LIBRANDO,BELARMINO
PEDRO,BERMIO,BELARMINO
OLIVIA,MARANTAL,BERMILLO
GUILLERMO,BENDIJO,JUMALON
MAMERTO,SERNA,BERMIL
LEONILA,JUMAWAN,BERMEJO
CIRILO,EGOS,HERNAN
ANA MARIE,VILLANUEVA,PALERMO
JOVANNA,CHING,JUMAMOY
JOSEPHINE S,CHING,JUMAMOY
VICENTE,BEDIONES,BERMEJO
ALLAN,,BERMEJO
CARMEN,,CONTADA
ANTONIO,,BERMEJO
ROMEO,,BERMEJO
ENRIQUE,,BERMEJO
ROSARIO,BAYOT,BELARMINO
RODRIGO,UY,JUMAMOY
JOVI,AGUILAR,PALMARES
HERBERT,VEGATRIA,JUMOC
RODOLFO,PAGUNTALAN,BENDEBEL
LORELIE,REYES,ONG
LEONARDO,LUCENA,BELASA
JEFFREY,SANGALANG,CORONEL
JOSEPH,MOLINA,BELARO
NOLASCO,,COROZA
MALLI,MALLI,KADIL
LORENZO,LAYANG,ONG
JOSE,BEA,BELARMINO
WILSON,BASILAS,PALMA
ISIDRO,LEBRILLA,HEMEDES
WENEFREDO,CANTONJOS,BELARMINO
JOSEFINO,ESTRAÑERO,MIRANDA
VITO,ACABAL,KADUSALE
FLORENCIO,MAYUGA,BERNABE
RENE,,CONSTANTINO
SEGUNDO,,BAYTOC
FLORENCIO,VENTURA,BENTREZ
ADONIS,BERONILLA,PALIGUTAN
TERESO,BAÑEZ,COPIOZO
GUILLERMO,BUAYA,BENSURTO
THOMAS,RUFINO,PALILENG
FEDERICO,REALES,BENOSA
JAMALODEN,,BENMAHMOD
EDWIN,BAES,BENLIRO
GALILEO LEE,,JUMAWAN
MARLENE,,COQUILLA
LESLIE WARREN,ALIANZA,BENJAMIN
HERACLEO,MONTEMAYOR,BENJAMIN
ROYECA,SUMAMPEN,BENITO
MA. GINA,SENINA,PALMARES
NEMECIO,ALFREDO,BENITO
JESUS,,PALILEO
ROBERTO,ENRIQUEZ,BENITO
SOLAIMAN,,BENITO
CASAN,SARIP,BENITO
ORLANDO,SINCUYA,MIRANDA
LORIANO,SUAN,JUMARITO
SARIO,,COPAS
JOSE,ACUIN,BENUSA
HENRY,BENTAYO,BERBERIO
JUAN,ALCANTARA,CONTRIDAS
GODOFREDO,,BERBERABE
ROSALINDA,TABUCO,BERAY
JULIET,,PALICOS
FERDINAND,FAVIS,HERNAEZ
DARIO,LAJO,BENITO
ESTRELLA,FAVIS,HERNAEZ
DANILO,CRUZ,BASI
MARY JANE,ONG,BATO
JOEY,SORIANO,PAMA
CENTENIELO RIZAL,RAGUINDIN,COSTALES
ELMERANDO,,BATIANCILA
ROMAN,,BATI
RODOLFO,"BARTOLOME,",COSTALES
CYNTHIA,,COSTALES
H. ABDULLAH,MAMANTUC,PAMANAY
REMEDIOS,OLIVERA,ONAS
RONALD,BERNATE,COSMOD
NIJAR,,HASSAN
MINDA,,BATO
REY,CATAHUMBER,BATRALO
CHARLITO,MULA,KHO
ALI,ABAS,PALWA
CONRADO,ENRIQUEZ,BATO-ON
MARLON,CHAN,KHO
